CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
Boxydragons,충청남도,충청남도 천안시 서북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20211030
Boxydragons,충청남도,충청남도 천안시서북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,12,20220822
Bros,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20220315
Burn,충청남도,충청남도 공주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20190426
Burnout,경상북도,경상북도 경산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,26,20200104
C DA C,경상남도,경상남도 의령군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20230118
C.T.U,경기도,경기도 화성시,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20220307
CAAS(카아스),충청남도,충청남도 아산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,11,20220325
CAZA,경기도,경기도 동두천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,10,20220325
CENTRAL,경기도,경기도 화성시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,18,20230321
CH,대전광역시,대전광역시 서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20210222
CH,대전광역시,대전광역시 서구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20230414
CHASERS,대전광역시,대전광역시 대덕구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,13,20220511
CHEONGSA(청사),제주특별자치도,제주특별자치도 제주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,9,20220607
CHLLY,서울특별시,서울특별시 노원구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210426
CK,경기도,경기도 김포시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20230306
CK,경기도,경기도 김포시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20191022
CK수상스키스쿨,대전광역시,대전광역시 옥천군,수상스키·웨이크스포츠,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,7,20220905
CLEANSHOT BASKETBALL CLUB,부산광역시,부산광역시 금정구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,21,20220314
CLEANSHOT BASKETBALL CLUB,부산광역시,부산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,44,20200120
CMH인라인클럽,경기도,경기도 군포시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,25,20220823
CMH인라인클럽,경기도,경기도 군포시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,20190324
COOL,광주광역시,광주광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200106
CORE,울산광역시,울산광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,17,20221028
CRANK,전라북도,전라북도 군산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,16,20220318
CRAZY,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,16,20230315
CREED,서울특별시,서울특별시 양천구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,12,20220509
CROSS,경상북도,경상북도 포항시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20200106
CROSS,경상북도,경상북도 포항시북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220315
CROSSOVER,광주광역시,광주광역시 북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220425
CS CLUB,충청북도,충청북도 청주시,스쿼시,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201120
CSC 볼링 아카데미,서울특별시,서울특별시 강남구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20220728
CSCK,경기도,경기도 남양주시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20230320
CSC스위밍 아카데미,강원도,강원도 동해시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,12,20230125
CSIS국제학교,경기도,경기도 용인시수지구,펜싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,14,20220620
CST,대전광역시,대전광역시 대덕구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220708
CTU(S),서울특별시,서울특별시 송파구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,44,20220315
CUT-IN,대구광역시,대구광역시 중구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,22,20200101
CYswim,충청남도,충청남도 청양군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,8,20221102
Cali Swim,서울특별시,서울특별시 송파구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220614
Clear,광주광역시,광주광역시 서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,1,20220720
Club Saba,부산광역시,부산광역시 해운대구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20210316
Club W,경기도,경기도 고양시일산서구,카누,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20220421
Cornell University,서울특별시,서울특별시 강남구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210614
Court Siders,충청남도,충청남도 당진시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200515
Cpp,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,11,20200104
CrossOver,서울특별시,서울특별시 강남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,19,20200103
CrossOver,서울특별시,서울특별시 송파구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,17,20220323
D.I.S,광주광역시,광주광역시 북구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,4,20220831
D.R F,서울특별시,서울특별시 구로구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,15,20220408
D.S.L,강원도,강원도 인제군,체조,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,21,20221013
DB,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,16,20230322
DBL,충청북도,충청북도 단양군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,13,20220318
DC 수경갤,서울특별시,서울특별시 강남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20220630
DDD,부산광역시,부산광역시 기장군,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,2,20230321
DD댄스,전라북도,전라북도 순창군,체조,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,21,20221201
DFL,경기도,경기도 과천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20190305
DFL,경기도,경기도 과천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,32,20220314
