,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
15370,송내사회체육관,체육관,부천시,37.4820266518,126.7689094038
15372,송내어린이공원,간이운동장,남구,37.453345,126.687321
15373,송도게이트볼장,전천후게이트볼장,포항시 남구,36.03589094511825,129.37876639226346
15374,송도스포츠센터,체육관,서구,35.078077331,129.0201114042
15375,송라게이트볼장,전천후게이트볼장,포항시,36.22727115197981,129.3561487441448
15376,송록어린이공원,간이운동장,금천구,37.461254,126.906105
15377,송림주공아파트,간이운동장,동구,37.47208274266652,126.65215890996798
15378,송산게이트볼장,간이운동장,의령군,35.4184652482025,128.286711293906
15379,송산게이트볼장,간이운동장,의령군,35.4184652482025,128.286711293906
15381,송산리체육시설,간이운동장,구미시,36.221068,128.479749
15382,송신소체육공원,간이운동장,연제구,35.193865,129.077348
15384,송전어린이공원,간이운동장,용인시,37.13911919925492,127.20009163615715
15385,송정게이트볼장,간이운동장,밀양시,35.582994,128.886698
15386,송정게이트볼장,전천후게이트볼장,북구,35.598342325993,129.362854953296
15387,송정다목적구장,기타시설,북구,35.598342325993,129.362854953296
15388,송정풋살경기장,간이운동장,강릉시,37.776719,128.941049
15389,송죽어린이공원,간이운동장,수원시 장안구,37.302228,127.003348
15390,송지게이트볼장,전천후게이트볼장,해남군,34.3729942658,126.5239413363
15392,송지어린이공원,간이운동장,달서구,35.8262736558,128.555627702
15393,송천게이트볼장,간이운동장,안동시,36.5408007077,128.7895539034
15394,송촌게이트볼장,전천후게이트볼장,아산시,36.84484415243862,127.04264946593555
15395,쇄운게이트볼장,간이운동장,동해시,37.484637,129.096424
15396,쇠부리체육센터,체육관,북구,35.63629197629,129.334608203764
15398,수동생활체육관,전천후게이트볼장,함양군,35.5176873443198,127.788214269034
15399,수북게이트볼장,전천후게이트볼장,담양군,35.30220487491889,126.93400312463102
15400,수성구민운동장,축구장,수성구,35.8503585036,128.6299352352
15401,수성구민운동장,축구장,수성구,35.8502840899,128.629840735
15402,수성리틀야구장,간이운동장,수성구,35.8548675126718,128.715147234108
15403,수성파크골프장,간이운동장,수성구,35.871622524396,128.66836449753
15404,수송공원씨름장,씨름장,군산시,35.9647323748,126.7201807007
15405,수송공원축구장,축구장,군산시,35.9647323748,126.7201807007
15407,수양게이트볼장,전천후게이트볼장,사천시,35.0832531648421,128.093946115691
15408,수여어린이공원,간이운동장,용인시,37.23597546553925,127.19881469888576
15409,수원시체육회관,기타시설,수원시 장안구,37.2986095257,127.0075567563
15410,수정어린이공원,간이운동장,수원시 영통구,37.251761,127.080084
15411,수주어린이공원,간이운동장,부천시,37.530058872,126.8124811069
15414,숭산게이트볼장,간이운동장,합천군,35.7327036965,128.1079446865
15415,숭산게이트볼장,전천후게이트볼장,합천군,35.73271189134216,128.10764194512674
15416,숯골어린이공원,간이운동장,유성구,36.3908183457,127.3506630875
15417,쉼터어린이공원,간이운동장,목포시,34.799823,126.417837
15418,스승어린이공원,간이운동장,남구,37.437906,126.656153
15419,스키점프경기장,설상경기장,평창군,37.66275696585097,128.68227618626645
15420,승주게이트볼장,전천후게이트볼장,순천시,35.0135917972,127.3858302073
15421,승지어린이공원,간이운동장,의정부시,37.7394078486,127.0940977703
15423,승촌게이트볼장,간이운동장,남구,35.056483,126.780767
15424,시도게이트볼장,전천후게이트볼장,옹진군,37.5349173204,126.4295931467
15425,시립광명야구장,야구장,광명시,37.442944501,126.8961179781
15429,시설관리사업소,간이운동장,동구,35.109358,126.938069
15432,신갈어린이공원,간이운동장,용인시 기흥구,37.274235,127.107734
15433,신광게이트볼장,기타시설,포항시 북구,36.1285256466752,129.261594093334
15434,신광게이트볼장,전천후게이트볼장,함평군,35.1524776585,126.4963240487
15435,신기리마을회관,간이운동장,장성군,35.2656020277017,126.640297142073
15436,신기리체육시설,간이운동장,구미시,36.282262,128.326559
15437,신기사거리쉼터,간이운동장,남구,37.451162,126.679555
15438,신기촌마을회관,간이운동장,장성군,35.2837011706,126.7750297991
15439,신대게이트볼장,전천후게이트볼장,세종시,36.5810322594,127.2566276903
15440,신도어린이공원,간이운동장,양주시,37.8251022781102,127.040989814936
15441,신동게이트볼장,전천후게이트볼장,정선군,37.2196406553945,128.672652904585
15442,신동공설운동장,육상경기장,정선군,37.2192289714831,128.671207446404
15443,신록어린이공원,간이운동장,은평구,37.60521,126.938087
15444,신림게이트볼장,전천후게이트볼장,고창군,35.4890907995,126.713600509
15445,신림리운동기구,간이운동장,원주시,37.2451744051,128.087255772
15446,신비어린이공원,간이운동장,남구,37.445298,126.687526
15447,신사개나리공원,간이운동장,강남구,37.525674,127.029436
15450,신사무궁화공원,간이운동장,강남구,37.524214,127.031969
15451,신서게이트볼장,간이운동장,연천군,38.1866648804,127.1061530269
15452,신석게이트볼장,간이운동장,강릉시,37.732779,128.922207
15453,신안공설운동장,축구장,신안군,34.8724580013,126.309756657
15454,신안공설운동장,축구장,신안군,34.8724580013,126.309756657
15455,신안군민체육관,체육관,신안군,34.8737185674,126.3120604469
