CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
공사 태권도부,충청북도,충청북도 청주시      상당구,태권도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.5897219,127.5051599
공사랑,충청북도,충청북도 청주시      청원구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.6515,127.4867
공생나무팀,서울특별시,서울특별시       중랑구,국학기공,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.6063,127.093
공정위 테니스 동호회,세종특별자치시,세종특별자치시       ,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.4799999,127.289
공주검도관,충청남도,충청남도 공주시      ,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주계룡배구클럽,충청남도,충청남도 공주시      ,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주교육대학교,충청남도,충청남도 공주시      ,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주문화원 댄스,충청남도,충청남도 공주시      ,체조,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시,충청남도,충청남도 공주시      ,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시,충청남도,충청남도 공주시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 공주클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 금강클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 금성클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 문필클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 볼링협회,충청남도,충청남도 공주시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.47257,127.09124
공주시 새벽클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 성실클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 에이스클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 웅진클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 유구클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 이인클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 중동클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시 행복클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시검도동호회,충청남도,충청남도 공주시      ,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,36.47257,127.09124
공주시그라운드골프협회,충청남도,충청남도 공주시      ,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주시테니스협회,충청남도,충청남도 공주시      ,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주유도관,충청남도,충청남도 공주시      ,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,36.47257,127.09124
공주정보고등학교(피플),충청남도,충청남도 공주시      ,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주클럽,충청남도,충청남도 공주시      ,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
공주행복클럽,충청남도,충청남도 공주시      ,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.47257,127.09124
과기대클럽,서울특별시,서울특별시       노원구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.654,127.0567
과천 둠,경기도,경기도 과천시      ,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천 박동현,경기도,경기도 과천시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천 이준선,경기도,경기도 과천시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천YC,경기도,경기도 과천시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천김도현,경기도,경기도 과천시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천도시공사,경기도,경기도 과천시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천시볼링협회,경기도,경기도 과천시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
과천이승환,경기도,경기도 과천시      ,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
관문초등학교,경기도,경기도 과천시      ,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4289037,126.9881655
관성클럽,충청북도,충청북도 옥천군,배드민턴,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.3061692,127.571482
관악검도관,서울특별시,서울특별시       관악구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4782,126.9518
관악검도관,서울특별시,서울특별시       관악구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.4782,126.9518
관악구,서울특별시,서울특별시       관악구,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4782,126.9518
